"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"Megasoft Ltd.","Technology","Computer Software","7.2","Dec 24, 2015","8.9","3.8","0","0.22","0","33.89","0.96","-2.2"
"Megri Soft Ltd.","Technology","Computer Software","12.5","Nov 04, 2015","12.5","12.5","2.31","0.22","0","-","-","-"
"Melstar Information Technologies Ltd.","Technology","Computer Software","4.2","Dec 24, 15:19","7.65","3.45","0","1.16","0","8.33","0.22","5.99"
"Micro Technologies (India) Ltd.","Technology","Computer Software","3.6","Jun 16, 2014","-","-","0","0.03","0","-8.24","0.03","0.12"
"Mindteck (India) Ltd.","Technology","Computer Software","154.5","Dec 24, 2015","194","54","17.65","2.18","0.65","18.27","4.63","16.92"
"MindTree Ltd.","Technology","Computer Software","1461.65","Dec 24, 2015","1602.4","1150.6","22.21","5.5","1.16","13.68","3.19","20.49"
"Moschip Semiconductor Technology Ltd.","Technology","Computer Software","6.83","Dec 24, 2015","7.51","3","0","-1.98","0","-16.39","5.11","-146.67"
"Moser Baer India Ltd.","Technology","Computer Hardware","9.4","Dec 24, 2015","18.25","7.35","0","-0.15","0","-80.01","0.31","1.33"
"Mphasis Ltd.","Technology","Computer Software","491.55","Dec 24, 2015","534.35","331.1","15.19","1.74","3.25","7.8","1.75","16.76"
"Mro-Tek Ltd.","Technology","Computer Software","37.25","Dec 24, 2015","41.5","10.1","0","3.93","0","-8.58","1.68","-21.44"
"MYM Technologies Ltd.","Technology","Computer Software","4.54","Jul 10, 2012","-","-","0","0.38","0","-","-","-"
"Net 4 India Ltd.","Technology","Computer Software","2.55","Dec 24, 2015","5.15","1.6","0","-0.03","0","-11.65","0.11","1.51"
"Netlink Solutions (India) Ltd.","Technology","Computer Software","0.8","Dec 24, 2015","0.9","0.35","21.58","0.25","0","-10.02","7.99","-3.52"
"Nettlinx Ltd.","Technology","Computer Software","21.15","Dec 22, 2015","31.75","14.6","0","1.53","0","-137.52","1.89","-14.31"
"Nexus Commodities And Technologies Ltd.","Technology","Computer Software","49.95","Jan 09, 2015","49.95","49.95","189.81","4.84","0","134.47","63.42","811.11"
"NHC Foods Ltd.","Technology","Computer Software","18.25","Dec 24, 2015","24.75","12","0","1.23","0","17.96","0.16","11.28"
"NIIT Ltd.","Technology","Computer Software","98.05","Dec 24, 2015","104.9","34.8","0","1.99","0","65.59","4.19","52.71"
"NIIT Technologies Ltd.","Technology","Computer Software","586.85","Dec 24, 2015","631","325.55","22.72","3.2","1.62","11.24","2.51","13.91"
"Northgate Com Tech Ltd.","Technology","Computer Software","2","Dec 24, 2015","2.5","0.7","0","-1.9","0","-4.22","0.16","69.83"
"Nucleus Software Exports Ltd.","Technology","Computer Software","259.85","Dec 24, 2015","352.9","160.05","16.28","1.87","1.93","6.92","2.36","21.13"
"Odyssey Technologies Ltd.","Technology","Computer Software","34.5","Dec 24, 2015","98.15","29.05","12.39","3.01","0","6.49","2.93","12.14"
"Omega Interactive Technologies Ltd.","Technology","Computer Software","99.3","Aug 27, 2015","128.9","62","310.31","6.55","0","260.19","80.08","-127.66"
"Omni AXs Software Ltd.","Technology","Computer Software","0.55","Dec 22, 2015","1.54","0.55","0","0.08","0","-15.58","-","-"
"Omnitech Infosolutions Ltd.","Technology","Computer Software","3.15","Dec 24, 2015","9.9","3.15","0","-0.1","0","-7.88","0.07","0.07"
"OnMobile Global Ltd.","Technology","Computer Software","130.75","Dec 24, 2015","140.8","61.85","0","2.19","1.15","6.93","1.68","12.48"
"Ontrack Systems Ltd.","Technology","Computer Software","1.47","Jun 15, 2015","3.5","1.47","0","0.11","0","23.55","0.05","-0.89"
"Oracle Financial Services Software Ltd.","Technology","Computer Software","3782.15","Dec 24, 2015","4444","3136.1","28.33","7.75","17.59","19.18","9.56","30.25"
"Ortel Communications Ltd.","Technology","Computer Software","178.5","Dec 24, 2015","226","135.65","49.85","4.21","0","10.54","3.17","8.17"
"Palred Technologies Ltd.","Technology","Computer Software","125.1","Dec 24, 2015","143","14.8","129.85","3.46","0","63.34","-","-"
"Pan India Corporation Ltd","Technology","Computer Software","0.25","Dec 24, 2015","0.4","0.15","0","0.16","0","-8.6","8.48","1.93"
"Panoramic Universal Ltd.","Technology","Computer Software","15.65","Dec 24, 2015","18.1","7.35","0","0.6","3.19","7.22","2.9","-1.37"
"Parle Software Ltd.","Technology","Computer Software","13.76","Dec 16, 2015","23.3","10.64","875.64","0.98","0","477.35","90.87","2013.25"
"PCS Technology Ltd.","Technology","Computer Hardware","37.6","Dec 24, 2015","38.55","19","14.53","2.1","0","8.55","0.93","4.39"
"Pentamedia Graphics Ltd.","Technology","Computer Software","0.73","Dec 24, 2015","1.32","0.59","0","0.19","0","15.15","5.79","-0.31"
"Persistent Systems Ltd.","Technology","Computer Software","650.45","Dec 24, 2015","960.15","574.9","17.94","3.37","1.54","9.58","2.56","16.7"
"PFL Infotech Ltd.","Technology","Computer Software","30.55","Aug 20, 2015","733","30.55","94.01","2.87","0","95.02","56.69","131.98"
"Polaris Consulting & Services Ltd.","Technology","Computer Software","210.45","Dec 24, 2015","224.45","132.9","13.05","2.32","7.13","9.31","1.2","37.48"
"Powersoft Global Solutions Ltd.","Technology","Computer Software","1.24","Jan 15, 2013","-","-","1.78","0.07","0","-","-","-10.93"
"Prabhav Industries Ltd.","Technology","Computer Software","1.51","Dec 24, 2015","2.34","0.81","154.66","0.05","0","217.28","0.68","-0.66"
"Prithvi Information Solutions Ltd.","Technology","Computer Software","1.28","Sep 14, 2015","3.27","0.8","0","0.01","0","-64","0","-0.09"
