"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","1-Year Revenue Growth","1-Year EPS Growth","1-Year Book Value Growth","3-Year Revenue Griowth","3-Year EPS Growth","3 Year Book Value Growth","5 Year Revenue Growth","5-Year EPS Growth","5 Year Book Value Growth"
"Rolta India Ltd.","Technology","Computer Hardware","47.08","-13.58","2.01","-","-","-","-","-","-"
"RS Software (India) Ltd.","Technology","Computer Software","-1.43","25.42","27.03","12.55","27.76","31.72","17.72","35.47","44.67"
"Saksoft Limited","Technology","Computer Software","3.13","10.46","5.25","23.52","32.68","18.15","16.31","13.33","20.65"
"Sankhya Infotech Ltd.","Technology","Computer Software","31.09","64.6","2.18","33.47","26.23","1.21","34.87","-16","0.95"
"Sanmit Infra Ltd.","Technology","Computer Software","-","-8715.46","-80.56","-","-180.58","-40.27","-","-332.91","-28.19"
"Sapan Chemicals Ltd.","Technology","Computer Software","430.48","-98278.77","-63.54","-","-893.18","-27.92","24.29","-451.25","-17.62"
"Saven Technologies Ltd.","Technology","Computer Software","-9.38","75.62","26.75","4.2","40.03","27.66","25.7","89.11","23.41"
"Scanpoint Geomatics Ltd.","Technology","Computer Hardware","-40.53","-217.61","-4.7","29.5","-173.34","2.33","62.92","-146.28","-0.96"
"Secure Earth Technologies Ltd.","Technology","Computer Software","-59.32","19.08","-5.15","111.27","19.29","-17.42","39.72","-202.16","-18.23"
"Sequel E-Routers Ltd.","Technology","Computer Software","85.4","147.26","10.01","121.37","27.04","5.03","97.54","15.01","12.85"
"Seshachal Technologies Ltd","Technology","Computer Software","-","100.3","3.84","-43.36","-1.07","-56.65","7.57","16.18","-39.13"
"Shree Tulsi Online. Com Ltd.","Technology","Computer Software","18.27","-95.26","-0.28","-61.63","-74.88","1","-","-","-"
"SmartLink Network Systems Ltd.","Technology","Computer Hardware","-39.32","730.95","1.46","3.98","-66.97","-0.99","-11.36","-5.86","21.32"
"Sofcom Systems Ltd.","Technology","Computer Software","3726.26","20.05","0.96","488.36","387.17","0.76","-","-","-"
"Softbpo Global Services Ltd.","Technology","Computer Software","-","-69.6","-11.4","-","-2.52","-149.02","-","-6.57","-205.44"
"Softech Infinium Solutions Ltd.","Technology","Computer Software","-98.6","-946.25","-11.45","-77.64","-202.69","-6.58","-50.95","-300.59","0.28"
"Softsol India Ltd.","Technology","Computer Software","14.05","-39.43","0.93","-0.28","16.73","1.83","-7.02","-35.95","2.19"
"Software Technology Group International Ltd.","Technology","Computer Software","-","-","-","-","11.63","-14.03","-","-","-"
"Sonata Software Ltd.","Technology","Computer Software","7.43","71.92","14.43","2.38","277.08","4.58","4.03","10.85","3.32"
"Spanco Ltd.","Technology","Computer Software","33.45","-1456.42","-59.73","8.75","-284.62","-15.58","23.16","-246.47","-10.2"
"Sparc Systems Ltd.","Technology","Computer Software","-65.37","-182.18","-16.42","-3.35","-406.97","-10.77","-12.85","-","-"
"Spectacle Infotek Ltd.","Technology","Computer Software","-","18.35","-1.25","-","-214.63","-2.04","-","-162.02","0.78"
"SQL Star International Ltd.","Technology","Computer Software","-9.96","-55.91","-110.6","-26.6","19.93","-234.29","-12.63","-184.79","-190.24"
"SQS India BFSI Ltd.","Technology","Computer Software","10.14","-29.83","-8.58","20.81","21.95","8.66","20.91","20.17","6.94"
"Sterling International Enterprises Ltd.","Technology","Computer Software","26.72","8.91","6.15","-15.12","-59.51","4.85","20.89","-30.11","14.33"
"Stocknet International Ltd.","Technology","Computer Software","-64.79","-318.24","-0.13","-72.5","25.59","-0.04","-55.85","-215.34","-1.28"
"Subex Ltd.","Technology","Computer Software","5.82","302.89","9.88","-9.02","-43.68","-17.38","-4.92","-45.64","-24.4"
"Svam Softwares Ltd.","Technology","Computer Software","-99.89","110.61","0.12","-91.72","-31.51","0.09","-75.76","-21.64","0.16"
